metric,company_reported_value,recalculated_or_verified_value,status,note
Demo-to-preorder conversion,34% across offline demo events,32.64%,verified,"Calculated from pilot_usage_metrics.csv (142 preorders / 435 demo attendees from offline events). Close to reported value."
7-day active usage retention,Not explicitly reported,77.9%,recalculated_or_verified_value,"Calculated weighted average across all pilot cohorts. Varies significantly by segment: Elderly Care (90.4%), Child Interaction (73.3%), Family Assistant (68.5%)."
30-day active usage retention,72% in ""core care cohorts"",79.5% (Elderly Care); 39.5% (Child Interaction); 40.7% (Family Assistant),inconsistent,"Company's 72% for ""core care cohorts"" is slightly lower than calculated 79.5% for Elderly Care. Other segments are significantly lower, indicating novelty decay."
Average daily interaction sessions,6.8 sessions per active household,5.61 sessions,inconsistent,"Company's reported 6.8 sessions is higher than the calculated weighted average of 5.61 across all pilot cohorts (pilot_usage_metrics.csv)."
Subscription interest by use case,35% overall opt-in,66.4% (Elderly Care); 20.6% (Child Interaction); 13.0% (Family Assistant),verified,"Overall 35% reported in commercialization_metrics.csv. Elderly care shows significantly higher interest than other segments (pilot_usage_metrics.csv)."
Feature-level usage quality,High daily engagement (general claim),Elderly Care: 79-87% success; Child Interaction: 53-62% success; Family Assistant: 55-63% success,verified,"Calculated successful event rates from feature_usage_breakdown.csv. Elderly care features show higher success rates."
Net preorders after cancellation,Not explicitly reported,272,verified,"Calculated from commercialization_metrics.csv (338 gross - 66 cancelled). 19.5% cancellation rate."
Preorder deposit quality,Deposits validate willingness to pay,$300 per preorder,needs_follow_up,"The $300 deposit is only 23% of the $1299 retail price. High cancellation rates (19.5%) suggest limited commitment, requiring further validation of full payment intent."
CAC per net preorder,Not explicitly reported,$185,verified,"Directly from commercialization_metrics.csv. Varies by channel from $94 (elderly care partner referrals) to $310 (online ads)."
Hardware gross margin,38% at mass production,39.3% (Management launch case); 20.5% (Current pilot cost),inconsistent,"Management's target of 38% (or 39.3% in BOM table) is based on aggressive assumptions not supported by current pilot margin of 20.5% (bom_and_margin_table.csv)."
BOM cost per unit,Not explicitly reported,$788 (Management launch case); $1033 (Current pilot cost),verified,"Two values provided in bom_and_margin_table.csv. Management targets significant reduction from current pilot cost."
Manufacturing yield assumption,95% by month 4 of mass production,86% (Pilot first-pass); 93% (Pilot final after rework),inconsistent,"Management's 95% target is an aggressive assumption given current pilot first-pass yield of 86% and final yield of 93% (manufacturing_plan.md)."
Warranty / return cost assumption,3% of retail price (implied by margin),8% of retail price (pilot experience),inconsistent,"Management assumes 3% ($39) while pilot experience implies 8% ($104), a significant difference impacting gross margin (bom_and_margin_table.csv)."
Elderly care use-case engagement,Strong medication reminder usage,High retention (90.4% 7-day, 79.5% 30-day), high feature success (79-87%), high subscription interest (66.4%),verified,"Strong positive signals across multiple metrics (pilot_usage_metrics.csv, feature_usage_breakdown.csv, user_interview_notes.md)."
Child interaction complaint rate,Not explicitly reported,40% of CI households,verified,"Calculated from pilot_usage_metrics.csv (36 complaint tickets / 90 activated households). High complaint and safety tickets, especially for open-ended chat (feature_usage_breakdown.csv, user_interview_notes.md)."
