metric,management_reported_value,recalculated_or_verified_value,status,note
Revenue growth by region - Europe,2025 revenue $36.2M up 48% YoY (from $24.3M),2025 Europe revenue $36.2M vs 2024 $24.3M = 48.8% growth,verified,"Source: regional_sales.csv; growth driven by top_3_distributors (+40.1%) and Southeast Asia retail (+143.8%)"
Revenue growth by region - Southeast Asia,2025 revenue $10.7M up 128% YoY (from $4.7M),2025 Southeast Asia revenue $10.7M vs 2024 $4.7M = 127.7% growth,verified,"Source: regional_sales.csv; fastest growing region but from low base, driven by retail partners and marketplace"
Gross margin by channel - Europe top 3 distributors,Not explicitly stated by channel in management presentation,29.0% in 2025 vs 31.5% in 2024,verified,"Source: gross_margin_by_channel.csv; 250 bps compression YoY on strategic volume"
Gross margin by channel - Europe Amazon marketplace,Not explicitly stated by channel,21.0% in 2025 vs 27.0% in 2024,verified,"Source: gross_margin_by_channel.csv; 600 bps compression, promotions and returns pressure"
Gross margin by channel - Southeast Asia retail partners,Not explicitly stated by channel,18.5% in 2025 vs 24.5% in 2024,verified,"Source: gross_margin_by_channel.csv; 600 bps compression, entry-level mix shift"
Gross margin by channel - Southeast Asia marketplace,Not explicitly stated by channel,14.0% in 2025 vs 22.0% in 2024,verified,"Source: gross_margin_by_channel.csv; 800 bps compression, aggressive pricing"
EBITDA / adjusted EBITDA quality,Adjusted EBITDA of $1.1M,Reported EBITDA is -$1.82M; adjusted EBITDA of $1.1M relies on $2.9M of questionable/partly recurring add-backs,inconsistent,"Source: adjusted_ebitda_bridge.csv; only $320K add-back (founder recruiting) rated 'acceptable', $2.0M rated 'questionable', $420K 'partial'"
Europe distributor concentration,Top 3 distributors provide scale and local coverage,Top 3 distributors = 66.6% of Europe revenue and 51.5% of total company revenue,verified,"Source: distributor_contracts_summary.md; NordBike alone is 29.3% of Europe revenue"
Southeast Asia ASP trend,Not explicitly discussed,ASP declined from $500 to $400 for retail partners (-20%) and $455 to $341 for marketplace (-25%),verified,"Source: regional_sales.csv; severe ASP erosion indicating pricing-driven growth, not brand-driven"
Inventory days,118 days (management headline),159.8 days using year-end inventory/COGS*365; 137 days using total inventory and implied daily COGS,inconsistent,"Source: inventory_aging.csv notes say 'Management headline inventory days excludes China buffer stock'; working_capital_schedule.csv shows 159.8 days"
Inventory aging over 180 days,Not explicitly stated,19.0% of total inventory ($2.9M); Europe specifically 24.5% ($2.3M),verified,"Source: inventory_aging.csv; Europe over-180-days inventory up significantly with prior-year commuter and slow cargo SKUs"
Warranty cost as % of revenue,3.2% (management presentation),4.0% actual warranty cost / revenue; 3.2% appears to exclude pending distributor claims,inconsistent,"Source: warranty_and_returns.csv total shows 4.0%; management_presentation.md cites 3.2% 'excluding pending distributor claims'"
Return rate by region - Europe,Not explicitly stated,6.4% weighted average for Europe channels (6.8% top 3 distributors; 9.4% Amazon),verified,"Source: warranty_and_returns.csv; Amazon marketplace highest at 9.4%"
Return rate by region - Southeast Asia,Not explicitly stated,4.2% weighted average for Southeast Asia channels (3.8% retail; 5.6% marketplace),verified,"Source: warranty_and_returns.csv; lower than Europe but rising on marketplace channel"
Cash conversion cycle,95 days (management presentation),162.0 days using year-end balances; 126.7 days using average balances,inconsistent,"Source: working_capital_schedule.csv; management's 95 days not reconcilable to any calculation methodology in data room"
Operating cash flow,Not explicitly stated as negative,-$9.8M in 2025; cumulative -$13.6M over 2023-2025,verified,"Source: cash_flow_statement.csv; deeply negative operating cash flow despite revenue growth, funded by debt and equity"
Regulatory / tariff exposure,Manageable; key models have CE and EN15194,Updated cargo model needs EN15194; battery UN38.3 incomplete; EU anti-dumping scrutiny; 1.2-1.8pp logistics cost increase possible,needs_follow_up,"Source: regulatory_tariff_memo.md; compliance risk 'manageable but not fully reflected in operating plan'; counsel recommends dedicated compliance budget before 2026 expansion"
