metric,company_reported_value,recalculated_or_verified_value,status,note
Demo-to-preorder conversion,34% (across offline demo events),34.5% (119/345 from offline demo events in commercialization_metrics.csv; or 272/1014 if all demo attendees),inconsistent,Management cites 34% but this appears limited to offline demo events only. Overall conversion across all channels is lower (~26.8% net preorders / total demo attendees). Source: commercialization_metrics.csv and pitch_deck_summary.md
7-day active usage retention,Not explicitly stated; implied ~72% for core care cohorts,Varies by segment: elderly care 89.7% (35/39) and 86.1% (31/36); child interaction 72.3% (34/47) and 67.4% (29/43); family assistant 61.3% (19/31) and 62.1% (18/29),verified,Calculated from pilot_usage_metrics.csv. Elderly care strongest; child interaction and family assistant weaker. Management's 72% appears to blend or cherry-pick cohorts.
30-day active usage retention,72% in core care cohorts,Varies by segment: elderly care 79.5% (31/39) and 75.0% (27/36); child interaction 38.3% (18/47) and 37.2% (16/43); family assistant 38.7% (12/31) and 34.5% (10/29),inconsistent,Management's 72% claim is not supported by data. Elderly care ~77% average; child interaction ~38% average; family assistant ~37% average. Significant discrepancy for non-elderly segments. Source: pilot_usage_metrics.csv
Average daily interaction sessions,6.8 per active household,Segment-weighted average ~5.5 sessions per active day (elderly care 6.0; child interaction 6.85; family assistant 3.25),inconsistent,Management's 6.8 appears to weight toward child interaction cohorts or include only most active households. Family assistant usage is much lower. Source: pilot_usage_metrics.csv
Subscription interest by use case,Not explicitly segmented,elderly care 66.5% average; child interaction 20.5% average; family assistant 13% average,verified,Strong elderly care subscription interest; weak for child interaction and family assistant. Source: pilot_usage_metrics.csv
Feature-level usage quality,Not quantified by management,elderly care: 87.6% successful events; child interaction: 62.1% successful events (bedtime story 62.1%; open-ended chat 54.6%; homework help 53.0%); family assistant: 62.7% successful events,verified,Elderly care features show highest success rates. Child interaction has high complaint and safety ticket rates. Source: feature_usage_breakdown.csv
Net preorders after cancellation,272 (management reports 338 gross),272 net after 66 cancellations (19.5% cancellation rate),verified,Source: commercialization_metrics.csv
Preorder deposit quality,$101,400 total deposits; $300 average deposit,$300 average deposit; 100% refundable deposits,needs_follow_up,Deposits are fully refundable per structure. No data on conversion to final purchase. Low friction may overstate true demand. Source: commercialization_metrics.csv
CAC per net preorder,Not stated by management,$185 blended average; ranges from $94 (elderly care referral) to $310 (online ads),verified,Online ads and parenting KOL campaigns show poor unit economics. Elderly care partner referrals are efficient. Source: commercialization_metrics.csv
Hardware gross margin,38% at mass production,Management case 39.3% at $788 total cost; current pilot 20.5% at $1,033 total cost,verified,Management case excludes some pilot rework cost and assumes yield improvements. Source: bom_and_margin_table.csv
BOM cost per unit,$788 (management launch case),$788 management case; $1,033 current pilot cost including higher warranty reserve,verified,Management case assumes volume discounts and yield improvements not yet achieved. Source: bom_and_margin_table.csv
Manufacturing yield assumption,95% first-pass yield by month 4 of mass production,Current pilot: 86% first-pass yield; 93% final yield after rework. Management plan: 88% → 91% → 93% → 95%,needs_follow_up,Management's ramp is aggressive given no prior mobile home robot experience at CM. Drop test and motor reliability testing incomplete. Source: manufacturing_plan.md
Warranty / return cost assumption,3% of retail price ($39),Pilot experience implies ~8% ($104); management case uses $39,needs_follow_up,8x difference between management assumption and pilot experience. Motor replacement and rework costs elevated. Source: bom_and_margin_table.csv and manufacturing_plan.md
Elderly care use-case engagement,Core care cohorts 72% retention at 30 days,79.5% and 75.0% day-30 active; 5.8-6.2 sessions/day; 78-82% core feature usage; 64-69% subscription interest,verified,Strongest and most durable use case. High successful event rate (87.6%). Source: pilot_usage_metrics.csv and feature_usage_breakdown.csv
Child interaction complaint rate,Not stated by management,23 complaint tickets + 8 safety tickets on open-ended chat (0.79% of events); 8 complaints + 1 safety on bedtime stories (0.19% of events); 12 complaints + 4 safety on homework help (0.86% of events),verified,High complaint and safety ticket rates relative to other segments. 11 of 93 child interaction households expressed return intent. Source: feature_usage_breakdown.csv and pilot_usage_metrics.csv
